#
# Salton Sea Polygon
#
# digitized from http://www.birdtheme.org/useful/v3largemap.html
# Feb 24 2015
#
Long, Lat, Elev
-115.813923,33.176066,0.0 
-115.809889,33.172043,0.0 
-115.806713,33.167732,0.0 
-115.800533,33.158248,0.0 
-115.793581,33.151781,0.0 
-115.791392,33.149553,0.0 
-115.789032,33.148044,0.0 
-115.787315,33.144882,0.0 
-115.784740,33.142007,0.0 
-115.783882,33.140139,0.0 
-115.782337,33.139420,0.0 
-115.778389,33.139564,0.0 
-115.776672,33.138414,0.0 
-115.775814,33.136401,0.0 
-115.776329,33.135251,0.0 
-115.777016,33.133383,0.0 
-115.776501,33.131083,0.0 
-115.773067,33.128351,0.0 
-115.770493,33.128351,0.0 
-115.769463,33.124326,0.0 
-115.767059,33.118575,0.0 
-115.766029,33.116706,0.0 
-115.763626,33.114837,0.0 
-115.761395,33.112105,0.0 
-115.760193,33.110236,0.0 
-115.756416,33.108079,0.0 
-115.753670,33.107935,0.0 
-115.752811,33.108798,0.0 
-115.752640,33.109948,0.0 
-115.751953,33.105778,0.0 
-115.750580,33.104197,0.0 
-115.747662,33.103190,0.0 
-115.745773,33.102327,0.0 
-115.734787,33.101896,0.0 
-115.731354,33.101896,0.0 
-115.726719,33.102471,0.0 
-115.724144,33.102471,0.0 
-115.722599,33.101608,0.0 
-115.719166,33.101033,0.0 
-115.717793,33.101033,0.0 
-115.714445,33.097582,0.0 
-115.712514,33.095712,0.0 
-115.710583,33.094274,0.0 
-115.708094,33.093555,0.0 
-115.705090,33.093699,0.0 
-115.701313,33.094418,0.0 
-115.697536,33.097006,0.0 
-115.695133,33.100170,0.0 
-115.693073,33.103765,0.0 
-115.691786,33.108510,0.0 
-115.695648,33.112680,0.0 
-115.697193,33.114981,0.0 
-115.697708,33.117137,0.0 
-115.698566,33.119869,0.0 
-115.697708,33.126339,0.0 
-115.697021,33.128926,0.0 
-115.698051,33.129933,0.0 
-115.698051,33.131514,0.0 
-115.696850,33.133814,0.0 
-115.694618,33.135539,0.0 
-115.693245,33.135826,0.0 
-115.692387,33.135970,0.0 
-115.691872,33.135108,0.0 
-115.683975,33.131945,0.0 
-115.677452,33.126914,0.0 
-115.676250,33.126339,0.0 
-115.672131,33.127201,0.0 
-115.669556,33.129070,0.0 
-115.666637,33.132233,0.0 
-115.666294,33.139707,0.0 
-115.659599,33.139995,0.0 
-115.656509,33.143013,0.0 
-115.653934,33.147038,0.0 
-115.652218,33.147469,0.0 
-115.648785,33.153505,0.0 
-115.648613,33.162128,0.0 
-115.642090,33.162271,0.0 
-115.639687,33.165720,0.0 
-115.640888,33.166439,0.0 
-115.640202,33.167732,0.0 
-115.639858,33.168738,0.0 
-115.641146,33.169708,0.0 
-115.642347,33.171109,0.0 
-115.643635,33.172186,0.0 
-115.641918,33.174485,0.0 
-115.640373,33.174629,0.0 
-115.637455,33.175491,0.0 
-115.636940,33.174342,0.0 
-115.634537,33.172474,0.0 
-115.631962,33.171899,0.0 
-115.629044,33.172905,0.0 
-115.627499,33.174485,0.0 
-115.627069,33.176497,0.0 
-115.624924,33.176640,0.0 
-115.623894,33.177790,0.0 
-115.622864,33.180520,0.0 
-115.622864,33.181669,0.0 
-115.623636,33.182603,0.0 
-115.623722,33.183680,0.0 
-115.622864,33.184111,0.0 
-115.622177,33.183680,0.0 
-115.619774,33.183537,0.0 
-115.617800,33.184830,0.0 
-115.617371,33.186985,0.0 
-115.615997,33.187703,0.0 
-115.613766,33.187703,0.0 
-115.612221,33.187416,0.0 
-115.609989,33.186266,0.0 
-115.607929,33.185548,0.0 
-115.603595,33.185835,0.0 
-115.600462,33.186410,0.0 
-115.601192,33.187990,0.0 
-115.601234,33.189571,0.0 
-115.602264,33.189499,0.0 
-115.601749,33.190432,0.0 
-115.601792,33.190801,0.0 
-115.601835,33.191169,0.0 
-115.602350,33.191977,0.0 
-115.604410,33.192354,0.0 
-115.607157,33.191797,0.0 
-115.612392,33.190073,0.0 
-115.615311,33.190073,0.0 
-115.617371,33.190432,0.0 
-115.616856,33.195604,0.0 
-115.617714,33.202786,0.0 
-115.619259,33.204222,0.0 
-115.619259,33.206808,0.0 
-115.621662,33.208388,0.0 
-115.620117,33.208818,0.0 
-115.621147,33.209178,0.0 
-115.621319,33.210255,0.0 
-115.620289,33.210686,0.0 
-115.620461,33.211835,0.0 
-115.617285,33.213127,0.0 
-115.613766,33.214420,0.0 
-115.612049,33.216430,0.0 
-115.610161,33.217579,0.0 
-115.607586,33.220739,0.0 
-115.605526,33.220595,0.0 
-115.604410,33.222749,0.0 
-115.603595,33.222605,0.0 
-115.601749,33.223323,0.0 
-115.598831,33.226770,0.0 
-115.597715,33.229139,0.0 
-115.597115,33.231508,0.0 
-115.599432,33.227452,0.0 
-115.600891,33.226411,0.0 
-115.598316,33.230575,0.0 
-115.597286,33.233662,0.0 
-115.597286,33.240554,0.0 
-115.598660,33.250173,0.0 
-115.605183,33.274718,0.0 
-115.609303,33.284046,0.0 
-115.609646,33.286342,0.0 
-115.613422,33.293804,0.0 
-115.615997,33.298467,0.0 
-115.619602,33.302986,0.0 
-115.624924,33.310733,0.0 
-115.634537,33.323213,0.0 
-115.642262,33.330959,0.0 
-115.648956,33.335691,0.0 
-115.650845,33.337197,0.0 
-115.653162,33.338345,0.0 
-115.654964,33.338847,0.0 
-115.657024,33.339277,0.0 
-115.658741,33.339564,0.0 
-115.661058,33.338273,0.0 
-115.661488,33.338345,0.0 
-115.662346,33.338703,0.0 
-115.663891,33.338847,0.0 
-115.665264,33.338703,0.0 
-115.667152,33.336910,0.0 
-115.668526,33.340137,0.0 
-115.672646,33.344153,0.0 
-115.676422,33.346590,0.0 
-115.681744,33.349458,0.0 
-115.686722,33.349458,0.0 
-115.688095,33.350462,0.0 
-115.689983,33.350462,0.0 
-115.692387,33.351322,0.0 
-115.695477,33.351753,0.0 
-115.699253,33.352326,0.0 
-115.702343,33.352756,0.0 
-115.707150,33.352470,0.0 
-115.710068,33.352470,0.0 
-115.713844,33.352470,0.0 
-115.716934,33.351896,0.0 
-115.719509,33.351036,0.0 
-115.721741,33.350175,0.0 
-115.724401,33.348455,0.0 
-115.725260,33.347594,0.0 
-115.726204,33.347307,0.0 
-115.728436,33.347451,0.0 
-115.730839,33.347594,0.0 
-115.731697,33.347164,0.0 
-115.732555,33.347164,0.0 
-115.733757,33.347738,0.0 
-115.739079,33.349745,0.0 
-115.740967,33.350175,0.0 
-115.742683,33.350892,0.0 
-115.745602,33.351179,0.0 
-115.746460,33.351896,0.0 
-115.748177,33.352326,0.0 
-115.750751,33.353330,0.0 
-115.753670,33.354190,0.0 
-115.755901,33.354907,0.0 
-115.765686,33.359639,0.0 
-115.771866,33.363510,0.0 
-115.775814,33.366377,0.0 
-115.782080,33.370391,0.0 
-115.783882,33.372542,0.0 
-115.786371,33.374262,0.0 
-115.791092,33.377129,0.0 
-115.792465,33.377129,0.0 
-115.793495,33.377953,0.0 
-115.793667,33.379208,0.0 
-115.794697,33.380139,0.0 
-115.796070,33.382146,0.0 
-115.803623,33.387306,0.0 
-115.816669,33.400062,0.0 
-115.825424,33.409520,0.0 
-115.828600,33.412959,0.0 
-115.831089,33.416971,0.0 
-115.834179,33.421126,0.0 
-115.837784,33.423992,0.0 
-115.838041,33.425567,0.0 
-115.838556,33.427502,0.0 
-115.839458,33.429471,0.0 
-115.840702,33.430725,0.0 
-115.842934,33.435739,0.0 
-115.843964,33.439105,0.0 
-115.843792,33.440896,0.0 
-115.847740,33.443904,0.0 
-115.849285,33.445766,0.0 
-115.851173,33.447628,0.0 
-115.853062,33.448774,0.0 
-115.856152,33.449777,0.0 
-115.860786,33.453930,0.0 
-115.863705,33.455076,0.0 
-115.866280,33.457940,0.0 
-115.870056,33.459659,0.0 
-115.871086,33.460805,0.0 
-115.874863,33.461807,0.0 
-115.876408,33.463382,0.0 
-115.878811,33.466103,0.0 
-115.881386,33.467535,0.0 
-115.888939,33.475124,0.0 
-115.892715,33.477845,0.0 
-115.894947,33.481138,0.0 
-115.898895,33.484145,0.0 
-115.900612,33.487294,0.0 
-115.904903,33.491160,0.0 
-115.911255,33.495884,0.0 
-115.914688,33.500894,0.0 
-115.916748,33.502612,0.0 
-115.916576,33.504330,0.0 
-115.918121,33.506190,0.0 
-115.920696,33.507908,0.0 
-115.923100,33.509482,0.0 
-115.925331,33.510341,0.0 
-115.927906,33.510628,0.0 
-115.928764,33.510914,0.0 
-115.930824,33.511773,0.0 
-115.935287,33.514063,0.0 
-115.936661,33.516997,0.0 
-115.937777,33.517998,0.0 
-115.938635,33.518213,0.0 
-115.937262,33.518285,0.0 
-115.937519,33.519072,0.0 
-115.938120,33.519930,0.0 
-115.938463,33.520145,0.0 
-115.939922,33.520360,0.0 
-115.949020,33.523150,0.0 
-115.950050,33.523651,0.0 
-115.951939,33.524224,0.0 
-115.953741,33.524367,0.0 
-115.955629,33.524510,0.0 
-115.957260,33.524224,0.0 
-115.960264,33.523723,0.0 
-115.962496,33.523222,0.0 
-115.973825,33.522292,0.0 
-115.976915,33.523222,0.0 
-115.984039,33.523222,0.0 
-115.985069,33.523508,0.0 
-115.990906,33.523794,0.0 
-115.993395,33.523437,0.0 
-115.994596,33.523651,0.0 
-115.996141,33.523580,0.0 
-115.999660,33.522220,0.0 
-116.001291,33.522149,0.0 
-116.004810,33.520717,0.0 
-116.005411,33.520717,0.0 
-116.009016,33.519358,0.0 
-116.010303,33.519286,0.0 
-116.011763,33.519501,0.0 
-116.013136,33.520360,0.0 
-116.014767,33.520861,0.0 
-116.016226,33.521147,0.0 
-116.018028,33.520789,0.0 
-116.019144,33.520431,0.0 
-116.020517,33.520431,0.0 
-116.021204,33.520789,0.0 
-116.022148,33.520717,0.0 
-116.023178,33.521004,0.0 
-116.024380,33.521791,0.0 
-116.025581,33.522005,0.0 
-116.027212,33.522077,0.0 
-116.028757,33.522292,0.0 
-116.030216,33.522578,0.0 
-116.031418,33.522578,0.0 
-116.032705,33.522936,0.0 
-116.035624,33.523723,0.0 
-116.036911,33.523723,0.0 
-116.039143,33.524295,0.0 
-116.040602,33.524224,0.0 
-116.041975,33.524152,0.0 
-116.045322,33.524152,0.0 
-116.046352,33.524295,0.0 
-116.046867,33.524510,0.0 
-116.048326,33.525154,0.0 
-116.048756,33.524725,0.0 
-116.048841,33.523794,0.0 
-116.049442,33.523723,0.0 
-116.049013,33.522435,0.0 
-116.049099,33.521648,0.0 
-116.050687,33.519501,0.0 
-116.051738,33.518285,0.0 
-116.052618,33.518499,0.0 
-116.052790,33.519358,0.0 
-116.052790,33.520217,0.0 
-116.054077,33.520503,0.0 
-116.053820,33.518857,0.0 
-116.054764,33.517855,0.0 
-116.055107,33.516853,0.0 
-116.055193,33.515494,0.0 
-116.055880,33.514349,0.0 
-116.053047,33.512023,0.0 
-116.051760,33.508409,0.0 
-116.051931,33.507479,0.0 
-116.052103,33.506190,0.0 
-116.052532,33.505117,0.0 
-116.050816,33.503399,0.0 
-116.052275,33.503650,0.0 
-116.052704,33.503041,0.0 
-116.053734,33.501968,0.0 
-116.055107,33.501825,0.0 
-116.056051,33.501395,0.0 
-116.057253,33.501538,0.0 
-116.058969,33.502970,0.0 
-116.059313,33.503757,0.0 
-116.060429,33.504544,0.0 
-116.061459,33.504688,0.0 
-116.063519,33.504616,0.0 
-116.065664,33.504473,0.0 
-116.067810,33.504401,0.0 
-116.068840,33.504544,0.0 
-116.071329,33.504330,0.0 
-116.072273,33.503829,0.0 
-116.072960,33.503757,0.0 
-116.074591,33.502254,0.0 
-116.076479,33.499749,0.0 
-116.076393,33.499033,0.0 
-116.077166,33.497817,0.0 
-116.079655,33.493665,0.0 
-116.080427,33.490587,0.0 
-116.081028,33.486078,0.0 
-116.081285,33.483858,0.0 
-116.081200,33.483071,0.0 
-116.080170,33.482248,0.0 
-116.078968,33.482283,0.0 
-116.078453,33.480709,0.0 
-116.079140,33.478990,0.0 
-116.078968,33.477272,0.0 
-116.077595,33.474408,0.0 
-116.074505,33.470829,0.0 
-116.066265,33.466390,0.0 
-116.063519,33.465530,0.0 
-116.059399,33.463669,0.0 
-116.055794,33.461807,0.0 
-116.052961,33.458513,0.0 
-116.050129,33.456795,0.0 
-116.047382,33.456651,0.0 
-116.046352,33.455649,0.0 
-116.046696,33.454073,0.0 
-116.046696,33.452641,0.0 
-116.046352,33.446912,0.0 
-116.045322,33.442758,0.0 
-116.041718,33.440609,0.0 
-116.042576,33.438318,0.0 
-116.040173,33.431012,0.0 
-116.040173,33.428433,0.0 
-116.041374,33.425711,0.0 
-116.037941,33.414249,0.0 
-116.036825,33.411884,0.0 
-116.035323,33.409627,0.0 
-116.034164,33.408947,0.0 
-116.032791,33.408374,0.0 
-116.032619,33.403071,0.0 
-116.032619,33.398629,0.0 
-116.033306,33.397482,0.0 
-116.033907,33.396121,0.0 
-116.033478,33.394329,0.0 
-116.029315,33.391176,0.0 
-116.024809,33.388739,0.0 
-116.014595,33.382576,0.0 
-116.012707,33.380569,0.0 
-116.007385,33.378993,0.0 
-116.007214,33.376556,0.0 
-116.004982,33.375409,0.0 
-116.005497,33.374405,0.0 
-116.004982,33.372398,0.0 
-116.002750,33.370248,0.0 
-116.001205,33.369675,0.0 
-115.998287,33.367524,0.0 
-115.994940,33.365517,0.0 
-115.991592,33.364800,0.0 
-115.986958,33.364227,0.0 
-115.985241,33.363367,0.0 
-115.985756,33.361646,0.0 
-115.985069,33.360929,0.0 
-115.983353,33.359710,0.0 
-115.981293,33.358922,0.0 
-115.975628,33.358062,0.0 
-115.970306,33.355767,0.0 
-115.967903,33.355337,0.0 
-115.964298,33.352613,0.0 
-115.963097,33.349172,0.0 
-115.960007,33.347021,0.0 
-115.957603,33.342719,0.0 
-115.955544,33.340998,0.0 
-115.952797,33.340281,0.0 
-115.950565,33.338560,0.0 
-115.948677,33.337986,0.0 
-115.947304,33.335691,0.0 
-115.947304,33.334831,0.0 
-115.945072,33.332106,0.0 
-115.942669,33.330241,0.0 
-115.941124,33.328807,0.0 
-115.939407,33.328233,0.0 
-115.938206,33.324576,0.0 
-115.935116,33.321564,0.0 
-115.934258,33.320201,0.0 
-115.935974,33.321062,0.0 
-115.936918,33.321564,0.0 
-115.937862,33.321779,0.0 
-115.937347,33.320775,0.0 
-115.936489,33.319197,0.0 
-115.937347,33.318049,0.0 
-115.937862,33.316328,0.0 
-115.935802,33.316687,0.0 
-115.934944,33.315611,0.0 
-115.936232,33.314391,0.0 
-115.935330,33.313495,0.0 
-115.933914,33.313459,0.0 
-115.932112,33.312957,0.0 
-115.927391,33.310446,0.0 
-115.925846,33.308868,0.0 
-115.924301,33.307147,0.0 
-115.922241,33.304708,0.0 
-115.919495,33.303704,0.0 
-115.918121,33.303273,0.0 
-115.917091,33.299399,0.0 
-115.917091,33.298538,0.0 
-115.915804,33.297175,0.0 
-115.914345,33.297104,0.0 
-115.912714,33.296709,0.0 
-115.910654,33.297534,0.0 
-115.907822,33.297821,0.0 
-115.906105,33.297821,0.0 
-115.903015,33.297678,0.0 
-115.900784,33.296386,0.0 
-115.899239,33.295382,0.0 
-115.898895,33.292943,0.0 
-115.895462,33.291364,0.0 
-115.891857,33.289068,0.0 
-115.885849,33.284620,0.0 
-115.881901,33.281893,0.0 
-115.878296,33.277301,0.0 
-115.874691,33.270125,0.0 
-115.874691,33.265963,0.0 
-115.875034,33.260939,0.0 
-115.875549,33.257350,0.0 
-115.875034,33.255915,0.0 
-115.873146,33.254192,0.0 
-115.868511,33.251752,0.0 
-115.864735,33.248307,0.0 
-115.861988,33.244861,0.0 
-115.859756,33.242708,0.0 
-115.858212,33.238257,0.0 
-115.853233,33.233949,0.0 
-115.854092,33.230503,0.0 
-115.851173,33.223180,0.0 
-115.847569,33.217292,0.0 
-115.845337,33.213558,0.0 
-115.843277,33.208531,0.0 
-115.841560,33.207167,0.0 
-115.839844,33.207095,0.0 
-115.838642,33.204366,0.0 
-115.836926,33.201493,0.0 
-115.836239,33.198477,0.0 
-115.834351,33.195173,0.0 
-115.832462,33.194024,0.0 
-115.833492,33.192875,0.0 
-115.834007,33.190145,0.0 
-115.833149,33.187847,0.0 
-115.833664,33.185835,0.0 
-115.833149,33.178365,0.0 
-115.831776,33.177071,0.0 
-115.829716,33.176209,0.0 
-115.827141,33.175491,0.0 
-115.824223,33.175347,0.0 
-115.821905,33.175060,0.0 
-115.819502,33.175204,0.0 
-115.816326,33.175491,0.0 
-115.815468,33.176640,0.0 
-115.813923,33.176066,0.0
